overlap_strength,complexity,learner,bias,rmse,mean_se,coverage,mean_r_d,mean_r_y,mean_outcome_rmse
0.0,linear,lasso,-0.0005,0.1501,0.1475,0.955,1.0048,0.5646,3.0111
0.0,linear,lasso_logistic,-0.0854,0.1117,0.1461,0.985,1.0344,0.5648,3.0105
0.0,linear,xgboost,-0.0375,0.0999,0.1031,0.95,1.0424,0.6898,2.54
0.0,nonlinear,lasso,-0.01,0.1823,0.2251,0.985,1.005,0.2854,4.4195
0.0,nonlinear,lasso_logistic,-0.0858,0.1811,0.2235,0.945,1.0332,0.285,4.4193
0.0,nonlinear,xgboost,-0.0396,0.1665,0.2162,0.98,1.0427,0.3572,4.0609
0.5,linear,lasso,-0.1071,0.2356,0.1539,0.835,0.9426,0.5583,2.9548
0.5,linear,lasso_logistic,-0.0886,0.1144,0.154,0.98,0.9396,0.5583,2.9549
0.5,linear,xgboost,-0.039,0.1057,0.109,0.94,0.9277,0.6934,2.4634
0.5,nonlinear,lasso,0.0209,0.3648,0.2297,0.94,0.9426,0.2661,4.4148
0.5,nonlinear,lasso_logistic,0.0003,0.2811,0.2323,0.945,0.9395,0.2662,4.413
0.5,nonlinear,xgboost,-0.0326,0.2311,0.2358,0.975,0.9277,0.3764,3.9605
1.0,linear,lasso,-0.2302,0.3802,0.1638,0.615,0.8425,0.5685,2.8616
1.0,linear,lasso_logistic,-0.0446,0.097,0.1729,1.0,0.7603,0.5686,2.8617
1.0,linear,xgboost,-0.032,0.1136,0.1253,0.955,0.7189,0.7178,2.3254
1.0,nonlinear,lasso,-0.0688,0.5773,0.2455,0.735,0.8423,0.2946,4.3174
1.0,nonlinear,lasso_logistic,0.0322,0.3441,0.2624,0.94,0.7613,0.2938,4.3224
1.0,nonlinear,xgboost,-0.1178,0.4623,0.2732,0.895,0.7197,0.4646,3.6583
1.5,linear,lasso,-0.3392,0.5232,0.1722,0.48,0.7711,0.5812,2.7859
1.5,linear,lasso_logistic,0.0386,0.1023,0.1975,0.985,0.6015,0.5811,2.7862
1.5,linear,xgboost,-0.029,0.131,0.1448,0.965,0.5479,0.7426,2.199
1.5,nonlinear,lasso,-0.1539,0.862,0.2597,0.58,0.7709,0.3201,4.2605
1.5,nonlinear,lasso_logistic,0.0732,0.4432,0.3019,0.935,0.6009,0.3202,4.2605
1.5,nonlinear,xgboost,-0.1715,0.6759,0.3166,0.785,0.5468,0.545,3.4068
2.0,linear,lasso,-0.4301,0.6365,0.1789,0.39,0.7268,0.5899,2.7385
2.0,linear,lasso_logistic,0.1461,0.1901,0.2287,0.955,0.4742,0.59,2.7382
2.0,linear,xgboost,-0.0386,0.1614,0.1669,0.945,0.4215,0.7639,2.0979
2.0,nonlinear,lasso,-0.2131,1.1254,0.27,0.47,0.7269,0.3404,4.2201
2.0,nonlinear,lasso_logistic,0.1305,0.5722,0.3458,0.88,0.4752,0.3396,4.2231
2.0,nonlinear,xgboost,-0.2621,0.8593,0.3643,0.78,0.4209,0.6052,3.2027
3.0,linear,lasso,-0.5454,0.774,0.1855,0.35,0.6818,0.5984,2.6911
3.0,linear,lasso_logistic,0.3921,0.4264,0.2914,0.81,0.3129,0.5981,2.6926
3.0,linear,xgboost,-0.0417,0.1983,0.21,0.965,0.2666,0.7893,1.9751
3.0,nonlinear,lasso,-0.2893,1.3647,0.2809,0.4,0.6816,0.3603,4.1934
3.0,nonlinear,lasso_logistic,0.3229,0.7865,0.4314,0.695,0.313,0.3604,4.1921
3.0,nonlinear,xgboost,-0.2442,1.0132,0.4581,0.73,0.267,0.6736,2.9665
5.0,linear,lasso,-0.6353,0.8762,0.1888,0.265,0.6577,0.6039,2.6636
5.0,linear,lasso_logistic,0.8251,0.852,0.3773,0.38,0.1958,0.6038,2.6638
5.0,linear,xgboost,-0.0999,0.2731,0.2785,0.945,0.1506,0.8097,1.8769
5.0,nonlinear,lasso,-0.3724,1.5736,0.2857,0.345,0.6576,0.3714,4.1745
5.0,nonlinear,lasso_logistic,0.6699,1.1586,0.548,0.515,0.196,0.3713,4.175
5.0,nonlinear,xgboost,-0.3005,1.2746,0.5973,0.745,0.1504,0.7229,2.784
